ARK	200	214	214$c	700	300$a
ark:/12148/cb47008663x	 $a Pyramidologie $b Texte imprimé $e aux sources de la pseudo-archéologie $f Thomas C. Durand	 $a Paris $c Éditions Book-e-book $d impr. 2021¤ $a 64-Orthez $c Impr. ICN	Éditions Book-e-book¤Impr. ICN	 $3 16568699 $a Durand $b Thomas C. $4 070	 $a Bibliogr. p. 83
ark:/12148/cb470063132	 $a This is how we do it $b Texte imprimé $e 40 ans de R&B en 100 disques $f Belkacem Meziane	 $a [Marseille] $c le Mot et le reste $d 2021¤ $a 01-Péronnas $c Impr. SEPEC numérique	le Mot et le reste¤Impr. SEPEC numérique	 $3 17837753 $o ISNI0000000478581829 $a Meziane $b Belkacem $4 070	 $a Texte en français seul¤ $a Bibliogr., filmogr. p. 239. Webliogr. p. 240
ark:/12148/cb470489131	 $a Hôtel de la Marine $b Texte imprimé $e [Paris] $f Delphine Christophe,... Alexandre Gady,...	 $a Paris $c Éditions du Patrimoine, Centre des monuments nationaux $d DL 2022¤ $a impr. en République tchèque	Éditions du Patrimoine, Centre des monuments nationaux	 $3 14560332 $o ISNI0000000107781717 $a Christophe $b Delphine $4 070	 $a Bibliogr., 1 p.
ark:/12148/cb47011113h	 $a Fumée $b Texte imprimé $f Chadia Loueslati, Nina Jacqmin	 $a Vanves $c Hachette $d DL 2022¤ $a impr. en Italie	Hachette	 $3 16526364 $o ISNI0000000123498778 $a Chaïbi-Loueslati $b Chadia $f 1974-.... $4 070	
ark:/12148/cb47069393h	 $a Croisière sur la Méditerranée $b Texte imprimé	 $a Paris $c les Nouvelles éditions de l'Université $d DL 2022¤ $a 42-Saint-Just-la-Pendue $c Impr. Chirat	les Nouvelles éditions de l'Université¤Impr. Chirat		 $a Index
ark:/12148/cb47051003r	 $a Systèmes d'information de gestion $b Texte imprimé $f Laurence Monaco	 $a Paris-La Défense $c Gualino $d DL 2022¤ $a 01-Péronnas $c Impr. Sepec numérique	Gualino¤Impr. Sepec numérique	 $3 16247538 $o ISNI000000010847089X $a Monaco $b Laurence $4 070	
ark:/12148/cb470100239	 $a La communication animale au quotidien $b Texte imprimé $e nos animaux ont des choses à nous dire $f Ifigeneia	 $a Paris $c Éditions Exergue¤ $d C 2022¤ $a impr. en Grèce	Éditions Exergue	 $3 18018580 $o ISNI0000000507196533 $a Ifigeneia $4 070	
ark:/12148/cb470012336	 $a Éclipse et soleil $b Texte imprimé $f Julia Darsot	 $a Valence $c Éditions LLB $d DL 2022¤ $a 37-Monts $c Impr. Présence graphique	Éditions LLB¤Impr. Présence graphique	 $3 18024526 $o ISNI0000000507437798 $a Darsot $b Julia $4 070	
ark:/12148/cb47075483q	 $a Guide antistress de l'enseignant $b Texte imprimé $f Maryse Isimat-Mirin	 $a Lyon $c Chronique sociale $d DL 2022¤ $a 01-Péronnas $c Impr. Sepec numérique	Chronique sociale¤Impr. Sepec numérique	 $3 13748371 $o ISNI0000000000990703 $a Isimat-Mirin $b Maryse $4 070	 $a Bibliogr. p. 125-126
ark:/12148/cb47037453f	 $a En route pour Paris et ses environs ! $b Texte imprimé	 $a Neuilly-Plaisance $c Itak éditions $d DL 2022¤ $a impr. en Bulgarie	Itak éditions		
ark:/12148/cb470120035	 $a Chadenac, images d'autrefois $b Texte imprimé $f Jean-François Renoud	 $a Saint-Savinien-sur-Charente $c Éditions le Passage des heures $d 2021¤ $a 17-Saint-Jean-d'Angély $c Impr. J.-M. Bordessoules	Éditions le Passage des heures¤Impr. J.-M. Bordessoules	 $3 18018499 $o ISNI0000000507196218 $a Renoud $b Jean-François $f 1951-.... $4 070	
ark:/12148/cb47071753n	 $a La musique $b Texte imprimé $f textes, Jean-Marc Harel-Ramond, Henri Medori	 $a [Vichy] $c Aedis $d DL 2021	Aedis	 $3 15050876 $o ISNI0000000002657971 $a Harel-Ramond $b Jean-Marc $f 1964-.... $4 070	 $a La couv. porte en plus : "le petit Nicolas"
ark:/12148/cb47029153w	 $a Le monde en chiffres $b Texte imprimé $f [texte, Steve Martin] $g [illustrations, Amber Davenport]	 $a Paris $c Kimane $d DL 2021¤ $a impr. en Chine	Kimane	 $3 17085097 $o ISNI000000011834853X $a Martin $b Steve $f 1962-.... $4 070	
ark:/12148/cb47060683v	 $a Sois un père $b Texte imprimé $f Mgr Dominique Rey	 $a Paris $c Éditions Emmanuel $d DL 2021¤ $a 58-Clamecy $c Impr. la Source d'or	Éditions Emmanuel¤Impr. la Source d'or	 $3 13620351 $o ISNI0000000121343529 $a Rey $b Dominique $f 1952-.... $4 070	
ark:/12148/cb47009303g	 $a Les énigmes de Naruto Shippuden $i Du CM1 au CM2 $b Texte imprimé $f Maxime Dahan	 $a Paris $c Larousse $d DL 2022¤ $a impr. en Espagne	Larousse	 $3 18033145 $o ISNI000000050816607X $a Dahan $b Maxime $4 070	 $a Solutions en fin de vol.
ark:/12148/cb47009003n	 $a Seconde guerre mondiale $b Texte imprimé $e l'histoire d'une guerre totale $f [Patricia Crété]	 $a Paris $c Quelle histoire $d DL 2022¤ $a 31-Toulouse $c Stin impr.	Quelle histoire¤Stin impr.	 $3 12128667 $o ISNI0000000045655271 $a Crété $b Patricia $4 070	
ark:/12148/cb470833130	 $a La confession $b Texte imprimé $e source de guérison et de libération $f Guillaume Villeboda	 $a Auriac $c Éditions Saint Jean-Librairie chrétienne $d impr. 2022¤ $a 22-Guingamp $c Impr. Roudenn grafik	Éditions Saint Jean-Librairie chrétienne¤Impr. Roudenn grafik	 $3 17790110 $a Villeboda $b Guillaume $4 070	
ark:/12148/cb470140834	 $a Pitre-Chevalier, 1812-1863 $b Texte imprimé $e publiciste mondain $e essai bio-bibliographie $f Jean-Louis Mongin	 $a Amiens $c AARP-Centre Rocambole $c Encrage éditions $d 2022¤ $a 64-Orthez $c Impr. ICN	AARP-Centre Rocambole¤Encrage éditions¤Impr. ICN	 $3 16759076 $o ISNI0000000433668752 $a Mongin $b Jean-Louis $4 070	 $a Bibliogr. p. 324-326. Bibliogr. des oeuvres de Pitre-Chevalier p. 243-280. Index¤ $a AARP = Association des amis du roman populaire
ark:/12148/cb470071937	 $a Jacques Breyer $i Le cycle initiatique de 7 ans $b Texte imprimé $f Albert Champeau	 $a Toulouse $c Éditions de la Croix bénite $d DL 2021¤ $a impr. en Allemagne	Éditions de la Croix bénite	 $3 16184201 $o ISNI0000000077717385 $a Champeau $b Albert $f 1950-.... $4 070	
ark:/12148/cb47007023s	 $a Doudou lapin $b Texte imprimé	 $a Toulouse $c Milan $d DL 2022¤ $a impr. en Chine	Milan		 $a Livre peluche en forme de lapin
ark:/12148/cb47041553g	 $a Guide du jardin ultra-simple $b Texte imprimé $f Jean-Michel Groult	 $a Paris $c Ulmer $d DL 2022¤ $a impr. en Italie	Ulmer	 $3 15002994 $o ISNI0000000418961985 $a Groult $b Jean-Michel $4 070	 $a Index
ark:/12148/cb47041463h	 $a Kiss $b Texte imprimé $f Bruno Piszczorowicz	 $a [Rosières-en-Haye] $c Camion blanc $d DL 2022¤ $a 91-Villejust $c Impr. Acort Europe	Camion blanc¤Impr. Acort Europe	 $3 17749896 $o ISNI0000000468063366 $a Piszczorowicz $b Bruno $4 070	 $a Discogr. p. 693
ark:/12148/cb47053813r	 $a Épreuves écrites du CRFPA $b Texte imprimé $e spécialité droit civil $f les auteurs, Charles Bahurel,... Nicolas Kilgus,... Rudy Laher... [et al.]	 $a [Paris] $c Dalloz $d DL 2022¤ $a 18-Saint-Amand-Montrond $c Impr. CPI Bussière	Dalloz¤Impr. CPI Bussière		 $a CRFPA = Centres régionaux de formation professionnelle d'avocats¤ $a Notes bibliogr.
ark:/12148/cb470041538	 $a Jean-François Dubreuil $b Texte imprimé $e leurres et bonheurs d'un peintre conceptuel $f Jean-Marc Huitorel $g version anglaise, Sandra Reid	 $a Paris $c Éditions du Regard $d DL 2022¤ $a impr. en Espagne	Éditions du Regard	 $3 11908001 $o ISNI000000005957531X $a Huitorel $b Jean-Marc $f 1953-.... $4 070	 $a Texte français et trad. anglaise en fin de vol.
ark:/12148/cb46993824n	 $a Démilitariser la France $b Texte imprimé $e plaidoyer pour un pays acteur de paix $f Alain Refalo	 $a Lyon $c Chronique sociale $d DL 2022¤ $a 58-Clamecy $c Impr. Laballery	Chronique sociale¤Impr. Laballery	 $3 13205343 $o ISNI0000000001787854 $a Refalo $b Alain $f 1964-.... $4 070	 $a En appendice, choix de documents¤ $a Bibliogr. p. 121-122
ark:/12148/cb46948024m	 $a Orient $b Texte imprimé $f José Carlos Llop $g roman traduit de l'espagnol par Edmond Raillard	 $a Arles $c Actes Sud $d DL 2022¤ $a 53-Mayenne $c Impr. Floch	Actes Sud¤Impr. Floch	 $3 12269924 $o ISNI0000000083995824 $a Llop $b José Carlos $f 1956-.... $4 070	
ark:/12148/cb46986964p	 $a L'escorte $b Texte imprimé $f dessin, Morris $g scénario, R. Goscinny	 $a Vanves $c Hachette collections $d DL 2022¤ $a impr. en Espagne	Hachette collections	 $3 11916919 $o ISNI0000000121458262 $a Morris $f 1923-2001 $4 440	 $a Le dos porte le numéro : "28"
ark:/12148/cb46986414r	 $a Le sabre japonais $b Texte imprimé $e héritage culturel de la nation $e histoire, métallurgie et iconographie du sabre des samouraïs $f Colin M. Roach	 $a Noisy-sur-École $c Budo éditions $d DL 2022¤ $a impr. en Bulgarie	Budo éditions	 $3 18029174 $a Roach $b Colin M. $4 070	 $a Bibliogr. p. 173
ark:/12148/cb469869442	 $a Fieffes, Montrelet, Bois-Saint-Jean $e ombre et lumière $h Tome 2 $b Texte imprimé	 $a [Amiens] $c les Amis de l'église de Fieffes $d DL 2021¤ $a 80-Abbeville $c Impr. F. Paillart	les Amis de l'église de Fieffes¤Impr. F. Paillart		 $a Bibliogr. p. 177
ark:/12148/cb469552041	 $a Rapport sur les politiques nationales de recherche et de formations supérieures $b Texte imprimé	 $a [Paris] $c [Direction du budget] $d [2021]	[Direction du budget]		 $a 2021 d'après le contenu de l'ouvrage
ark:/12148/cb469551847	 $a Effort financier de l'État dans le domaine de la culture et de la communication $b Texte imprimé	 $a [Paris] $c [Direction du budget] $d [2021]	[Direction du budget]		 $a 2021 d'après le contenu de l'ouvrage
ark:/12148/cb46968874s	 $a Switch me on $h 7 $b Texte imprimé $f Kujira	 $a Rancon $c Éditions Akata $d DL 2022¤ $a impr. en Italie	Éditions Akata	 $3 17844172 $a Kujira $4 070	
ark:/12148/cb46994764v	 $a I certainly practise painting $b Texte imprimé $f Alberto Giacometti	 $a Paris $c Fondation Giacometti $c Hermann¤ $d C 2021¤ $a impr. en France	Fondation Giacometti¤Hermann	 $3 11904811 $o ISNI0000000121318171 $a Giacometti $b Alberto $f 1901-1966 $4 070	 $a Recueil de notes, textes et entretiens parus de 1952 à 1964
ark:/12148/cb46963314b	 $a Natsuko no sake $h 6 $b Texte imprimé $f Akira Oze	 $a Marcinelle (Belgique) $a [Paris] $c Véga-Dupuis $d DL 2021¤ $a impr. en Italie	Véga-Dupuis	 $3 16798107 $o ISNI0000000049155426 $a Oze $b Akira $f 1947-.... $4 070	 $a Trad. du japonais¤ $a En appendice dossier sur la culture du riz et les brasseries japonaises¤ $a Glossaire
ark:/12148/cb46940474b	 $a The most notorious Talker $e runs the world's greatest clan $h 1 $b Texte imprimé $f dessin, Yamorichan $g scénario, Jaki	 $a [Brignolles] $c Meian¤ $d C 2021¤ $a impr. en République tchèque	Meian	 $3 18022096 $o ISNI0000000507278694 $a Yamori-chan $4 440	
ark:/12148/cb46940754j	 $a Petit Gruffalo $b Texte imprimé $f Julia Donaldson $g [illustré par] Axel Scheffler	 $a [Paris] $c Gallimard jeunesse $d DL 2021¤ $a impr. en République tchèque	Gallimard jeunesse	 $3 13344359 $o ISNI0000000121275108 $a Donaldson $b Julia $f 1948-.... $4 070	
ark:/12148/cb469417643	 $a Ur gazhez vihan er brezel $b Texte imprimé $f skrivet gant Hiba Noor Khan $g skeudennaouet gant Laura Chamberlain $g troet e brezhoneg gant Riwal Georgelin	 $a Sant-Brieg [i.e. Saint-Brieuc] $c TES $d DL 2021¤ $a impr. en Chine	TES	 $3 18023749 $o ISNI0000000507306288 $a Khan $b Hiba Noor $4 070	 $a Trad. de l'anglais
ark:/12148/cb46941074g	 $a La magie & l'hypnose $b Texte imprimé $e recueils de faits et d'expériences justifiant et prouvant les enseignements de l'occultisme par Papus... $f Papus,...	 $a Balma $c Éditions Alliance magique $d 2021¤ $a impr. en Turquie	Éditions Alliance magique	 $3 15461390 $o ISNI0000000118910422 $a Papus $f 1865-1916 $4 070	
ark:/12148/cb469511143	 $a Le vilain petit canard $b Texte imprimé $f texte de Philippe Lechermeier $g illustrations de Mylène Rigaudie	 $a [Paris] $c Gallimard jeunesse $d DL 2020¤ $a impr. en Italie	Gallimard jeunesse	 $3 14501961 $o ISNI0000000120793085 $a Lechermeier $b Philippe $f 1968-.... $4 070	
ark:/12148/cb46951564r	 $a Ça roule ! $b Texte imprimé	 $a Grenoble $c Éditions Quatre fleuves $d DL 2022¤ $a impr. en Italie	Éditions Quatre fleuves		 $a Livre cartonné¤ $a Trad. de l'italien
ark:/12148/cb46951984g	 $a Le prix de nos valeurs $b Texte imprimé $e quand nos idéaux se heurtent à nos désirs matériels $f Augustin Landier et David Thesmar $g avec Julien Vaulpré	 $a [Paris] $c Flammarion $d DL 2022¤ $a 61-Lonrai $c Normandie roto impr.	Flammarion¤Normandie roto impr.	 $3 15518055 $o ISNI000000004879279X $a Landier $b Augustin $4 070	
ark:/12148/cb46960194j	 $a Hôtel Transylvanie $b Texte imprimé $e changements monstres $e le roman du film	 $a Vanves $c Hachette jeunesse $d DL 2021¤ $a impr. en Roumanie	Hachette jeunesse		
ark:/12148/cb46961044z	 $a Géminés $b Texte imprimé $f [poème inédit de] P. Bergounioux $g [peintures originales de Chantal] Giraud Cauchy	 $a [Manosque] $c Ségust $d 2020¤ $a 04-Manosque $c Impr. Ségust	Ségust¤Impr. Ségust	 $3 12012444 $o ISNI0000000121409305 $a Bergounioux $b Pierre $f 1949-.... $4 070	 $a Livre d'artiste manuscrit et entièrement peint par Chantal Giraud Cauchy et signé par l'auteur et l'artiste¤ $a Éd. originale tirée à 6 ex.
ark:/12148/cb469841044	 $a La route de la foi $b Texte imprimé $f Jean-Pierre Rey	 $a Paris $c Éditions Glyphe $d DL 2022¤ $a 63-Riom $c Impr. la Source d'or	Éditions Glyphe¤Impr. la Source d'or	 $3 11921691 $o ISNI0000000373999997 $a Rey $b Jean-Pierre $f 1947-.... $4 070	
ark:/12148/cb46984664c	 $a Égarer la tristesse $b Texte imprimé $f Marion McGuinness	 $a Paris $c Eyrolles roman $d DL 2022¤ $a 72-La Flèche $c Impr. CPI Brodard & Taupin	Eyrolles roman¤Impr. CPI Brodard & Taupin	 $3 16700600 $o ISNI0000000416552635 $a McGuinness $b Marion $f 1983-.... $4 070	
ark:/12148/cb46995804h	 $a 250 fiches de culture générale $b Texte imprimé $e Sciences Po, concours cat. A & B, prépas commerciales	 $a Levallois-Perret $c Studyrama $d impr. 2022¤ $a 12-Millau $c Impr. Maury	Studyrama¤Impr. Maury		
ark:/12148/cb469423945	 $a Valentino Rossi $b Texte imprimé $e l'odyssée 46 $f scénario, Michel Turco $g dessin, Renaud Garreta $g préface, Fabio Quartararo	 $a Clichy $c Casa éditions $d DL 2021¤ $a impr. en Italie	Casa éditions	 $3 12390092 $o ISNI0000000382463510 $a Turco $b Michel $f 1964-.... $4 070	
ark:/12148/cb469877949	 $a Grammatik mal vier $b Texte imprimé $e Übungsgrammatik Deutsch als Fremdsprache $e A1-B1 $e Wissen, Training, Texte, Landeskunde $f Sandra Hohmann, Lutz Rohrmann	 $a Stuttgart $c Ernst Klett Sprachen¤ $d C 2021¤ $a impr. en Allemagne	Ernst Klett Sprachen	 $3 16660080 $o ISNI0000000019216355 $a Hohmann $b Sandra $4 070	 $a Diffusé en France
ark:/12148/cb46987244c	 $a Femmes de parole $b Texte imprimé $e lire la Bible avec la tête et le coeur $f Jen Wilkin	 $a Romanel-sur-Lausanne (Suisse) $c la Maison de la Bible¤ $d C 2022¤ $a impr. en République tchèque	la Maison de la Bible	 $3 18004825 $o ISNI0000000427828932 $a Wilkin $b Jen $f 1969-.... $4 070	 $a Bibliogr. et webliogr. p. 185-186¤ $a Diffusé en France
ark:/12148/cb469876941	 $a Une conversation $b Texte imprimé $f [poème de] Jean Gabriel Cosculluela $g [gravure de] Gérard Truilhé	 $a Barriac-en-Rouergue $c Trames $d impr. 2011¤ $a 12-Barriac-en-Rouergue $c Impr. G. Truilhé	Trames¤Impr. G. Truilhé	 $3 11897767 $o ISNI0000000000045517 $a Cosculluela $b Jean Gabriel $f 1951-.... $4 070	 $a Éd. originale accompagnée de 2 gravures de Gérard Truilhé¤ $a Tiré à 33 ex. sur vélin d'Arches numérotés et signés par l'auteur et l'artiste dont 6 ex. avec une suite des 2 gravures sur papier Népal numérotés de 1 à 6 et 27 ex. numérotés de 7 à 33
ark:/12148/cb469788849	 $a Fables de La Fontaine $b Texte imprimé $f illustrations, Renaud Bouet, A.-C. Blanloeil, Anita Gallego... [et al.]	 $a Alfortville $c Siranouche éditions $d DL 2022¤ $a impr. en Bulgarie	Siranouche éditions	 $3 11910267 $o ISNI0000000120958636 $a La Fontaine $b Jean de $f 1621-1695 $4 070	
ark:/12148/cb46978954n	 $a Symbolique des ultimes grades de vaillance et de sagesse $b Texte imprimé $e Rite écossais anciens et accepté du 31e au 33e degré $f Irène Mainguy $g préface de Boris Nicaise	 $a Paris $c Éditions Dervy $d DL 2022¤ $a 58-Clamecy $c Impr. Laballery	Éditions Dervy¤Impr. Laballery	 $3 13741870 $o ISNI0000000116141586 $a Mainguy $b Irène $4 070	 $a Illustré de 116 figures et 18 planches¤ $a Bibliogr. p. 337-338. Index
ark:/12148/cb469891944	 $a Varengue $b Texte imprimé $f Jean-Pierre Montreuil	 $a Digosville $c Éditions Oû pyid des phares $d 2022¤ $a 50-Valognes $c Impr.  ICL Graphic	Éditions Oû pyid des phares¤Impr.  ICL Graphic	 $3 17912731 $o ISNI0000000486606643 $a Montreuil $b Jean-Pierre $f 1947-.... $4 070	 $a Texte français avec la version normande en regard
ark:/12148/cb46989534c	 $a Jésus viendra-t-il aussi sauver les machines ? $b Texte imprimé $e regard chrétien sur l'intelligence artificielle et les nouvelles technologies $f Jean-Marc Moschetta $g préface de Jean-Michel Maldamé,...	 $a Paris $c Mame $d DL 2021¤ $a 01-Péronnas $c Impr. SEPEC numérique	Mame¤Impr. SEPEC numérique	 $3 13164891 $o ISNI0000000044145616 $a Moschetta $b Jean-Marc $4 070	 $a Bibliogr. p. 147-152
ark:/12148/cb46988144b	 $a Techniques du bâtiment $b Texte imprimé $e la réglementation administrative et les contrats	 $a Saint-Denis $c Techniques de l'ingénieur $d impr. 2021¤ $a 14-Condé-sur-Noireau $c Impr. Corlet numérique	Techniques de l'ingénieur¤Impr. Corlet numérique		 $a La couv. porte en plus : "construction et travaux publics" et "techniques du bâtiment, préparer la construction"¤ $a Notes bibliogr. et webliogr.
ark:/12148/cb469989542	 $a Le guide pratique des voileuses $b Texte imprimé $e oser prendre la barre ! $f Julie Mira $g illustrations de Léonie Koelsch $g dessins techniques de Lorenzo Timon	 $a [Paris] $c Vagnon $d DL 2021¤ $a impr. en Espagne	Vagnon	 $3 18032004 $o ISNI0000000508160663 $a Mira $b Julie $4 070	 $a La couv. porte en plus : "se préparer, manoeuvrer, vivre à bord"¤ $a Webliogr. p. 127. Lexique
ark:/12148/cb46943304m	 $a Les enfants de Pandora $b Texte imprimé $e l'étoile et la mer $f Jean-Louis Pieraggi	 $a Ajaccio $c Albiana $d DL 2021¤ $a impr. en Italie	Albiana	 $3 18017310 $a Pieraggi $b Jean-Louis $4 070	 $a Bibliogr. p. 92. Glossaire
ark:/12148/cb46983464k	 $a Gestion du risque & introduction aux assurances $b Texte imprimé $f Joël Wagner, Michel Fuino	 $a Lausanne $c EPFL press¤ $d C 2022¤ $a impr. en Italie	EPFL press	 $3 18027411 $o ISNI0000000507785856 $a Wagner $b Joël $f 19..-.... $4 070	 $a EPFL = École polytechnique fédérale de Lausanne¤ $a Bibliogr. et webliogr. p. 255-262¤ $a Diffusé en France
ark:/12148/cb46958964j	 $a La très grande taille au féminin $b Texte imprimé $e les ambivalences d'une stature hors norme $f Marie Buscatto	 $a Paris $c CNRS éditions $d DL 2022¤ $a 14-Condé-en-Normandie $c Corlet impr.	CNRS éditions¤Corlet impr.	 $3 15592851 $o ISNI0000000040400616 $a Buscatto $b Marie $4 070	 $a Bibliogr. p. 281-285
ark:/12148/cb46996584d	 $a Le renard et la chasse aux oeufs $b Texte imprimé $f une histoire écrite par Agnès Cathala $g et illustrée par Kiko	 $a Toulouse $c Milan $d DL 2022	Milan	 $3 13627063 $o ISNI0000000003074137 $a Cathala $b Agnès $f 1969-.... $4 070	
ark:/12148/cb46950204t	 $a Les collections de monsieur L. $b Texte imprimé $e vente, Paris, 30 octobre 2020 $f Mathias & Oger-Blanchet	 $a Paris $c J.J. Mathias $c Oger-Blanchet $d [2020]	J.J. Mathias¤Oger-Blanchet		
ark:/12148/cb469475044	 $a Le grand livre de Napoléon $b Texte imprimé $f [coordination éditoriale, Jacques Demougin]	 $a Paris $c Liriade $d DL 2021¤ $a impr. en UE	Liriade		
ark:/12148/cb46947794g	 $a Recrutement et gestion des carrières $b Texte imprimé $e guide 2022 $f Éditions législatives	 $a [Montrouge] $c Éditions législatives $d DL 2021¤ $a impr. en Italie	Éditions législatives		 $a Index¤ $a L'ouvrage porte par erreur l'ISSN 2258-188X
ark:/12148/cb46962274p	 $a Sécurité civile $b Texte imprimé $f ministre chef de file, ministre de l'Intérieur	 $a [Paris] $c [Direction du budget] $d [2021]	[Direction du budget]		 $a 2021 d'après le contenu de l'ouvrage
ark:/12148/cb46962264c	 $a Politique de lutte contre les drogues et les conduites addictives $b Texte imprimé $f ministre chef de file, Premier ministre	 $a [Paris] $c [Direction du budget] $d [2021]	[Direction du budget]		 $a 2021 d'après le contenu de l'ouvrage
ark:/12148/cb469927949	 $a Une nouvelle enquête $b Texte imprimé $f Enid Blyton	 $a Vanves $c Hachette jeunesse $d DL 2022¤ $a impr. en Roumanie	Hachette jeunesse	 $3 11892464 $o ISNI0000000110315354 $a Blyton $b Enid $f 1897-1968 $4 070	
ark:/12148/cb469651446	 $a Peirce $b Texte imprimé $e ou l'invention de l'épistémologie $f par Jean-Marie Chevalier	 $a Paris $c Librairie philosophique J. Vrin $d 2022¤ $a 80-Abbeville $c Impr. F. Paillart	Librairie philosophique J. Vrin¤Impr. F. Paillart	 $3 16659634 $o ISNI0000000403639627 $a Chevalier $b Jean-Marie $f 1980-.... $4 070	 $a Bibliogr. p. 305-310
ark:/12148/cb46939604p	 $a La maladie m'a emmenée aux Jeux $b Texte imprimé $f Anita Fatis	 $a [Paris] $c Éditions Maïa $d DL 2018¤ $a 14-Condé-sur-Noireau $c Impr. Rapidbook	Éditions Maïa¤Impr. Rapidbook	 $3 18018328 $o ISNI0000000507195303 $a Fatis $b Anita $f 1963-.... $4 070	
ark:/12148/cb46954574s	 $a Dictionnaire de lithothérapie holistique $b Texte imprimé $f Aurélia Mariani	 $a Balma $c Améthyste éditions $d 2021¤ $a impr. en Turquie	Améthyste éditions	 $3 17877354 $o ISNI0000000485155158 $a Mariani $b Aurélia $f 1986-.... $4 070	
ark:/12148/cb469540345	 $a Traductologie et langue des signes $b Texte imprimé $f sous la direction de Florence Encrevé	 $a Paris $c Classiques Garnier $d 2021¤ $a 14-Condé-en-Normandie $c Impr. Corlet	Classiques Garnier¤Impr. Corlet		 $a Résumés en fin de vol.¤ $a Bibliogr. p. 213-233. Index
ark:/12148/cb46954024v	 $a Le principe $b Texte imprimé $f Jean-Pascal Anfray, Ionna Bartsidi, Benoit Brousse... [et al.] $g ouvrage coordonné par Alexandre Feron et Elena Partene	 $a Limoges $c LL, Lambert-Lucas $d DL 2021¤ $a 27-Mesnil-sur-l'Estrée $c Impr. CPI Firmin-Didot	LL, Lambert-Lucas¤Impr. CPI Firmin-Didot		 $a Bibliogr. p. 313-319. Notes bibliogr
ark:/12148/cb469548947	 $a Rapport sur l'impact environnemental du budget de l'État $b Texte imprimé	 $a [Paris] $c [Direction du budget] $d [2021]	[Direction du budget]		 $a 2021 d'après le contenu de l'ouvrage
ark:/12148/cb469549846	 $a Doudou renard $b Texte imprimé	 $a Toulouse $c Milan $d DL 2021¤ $a impr. en Chine	Milan		 $a Livre peluche en forme de renard
ark:/12148/cb469690248	 $a La forme de la règle $b Texte imprimé $e Kant, l'éthique et la subjectivité $f David Zapero	 $a Paris $c Vrin $d DL 2022¤ $a 52-Langres $c la Manufacture impr.	Vrin¤la Manufacture impr.	 $3 18016959 $a Zapero $b David $4 070	 $a Bibliogr. p. 165-166
ark:/12148/cb469728240	 $a Pour une corne magique $b Texte imprimé $f Sylvie de Mathuisieulx	 $a [Paris] $c Larousse $d DL 2022¤ $a impr. en Pologne	Larousse	 $3 13574159 $o ISNI0000000120985343 $a Mathuisieulx $b Sylvie de $f 1964-.... $4 070	
ark:/12148/cb46972444h	 $a 50 règles essentielles, italien $b Texte imprimé $f Cosimo Campa	 $a Levallois-Perret $c Studyrama $d impr. 2021¤ $a 01-Péronnas $c Impr. SEPEC	Studyrama¤Impr. SEPEC	 $3 14540883 $o ISNI0000000119481797 $a Campa $b Cosimo $4 070	
ark:/12148/cb469723447	 $a Souveraines $h [1] $b Texte imprimé $f Laura Sebastian $g traduit de l'anglais (États-Unis) par Elsa Pellegri	 $a Bruxelles $a [Paris] $c Casterman $d DL 2022¤ $a impr. en Espagne	Casterman	 $3 17758076 $a Sebastian $b Laura $4 070	
ark:/12148/cb46972804c	 $a La guerre d'Algérie $b Texte imprimé $e l'immense gâchis $f Roger Albert	 $a La Crèche $c Métive $d DL 2022¤ $a impr. en Union européenne	Métive	 $3 14419777 $o ISNI0000000042873142 $a Albert $b Roger $f 1935-.... $4 070	
ark:/12148/cb46976534f	 $a Histoire de la psychologie $b Texte imprimé $e de Pinel à Damasio, 101 dates clés $f Jean-François Marmion	 $a [Auxerre] $c "Sciences humaines" éditions $d DL 2022¤ $a 01-Péronnas $c Impr. SEPEC	"Sciences humaines" éditions¤Impr. SEPEC	 $3 16592108 $o ISNI0000000439763240 $a Marmion $b Jean-François $f 1970-.... $4 070	 $a Notes bibliogr.
ark:/12148/cb46977574x	 $a C'était en l'an 1698 qu'advint dans la ville le fait mémorable $b Texte imprimé $f Maria Attanasio $g postface, Vincenzo Consolo $g traduction, Eugenia Fano	 $a Paris $c Ypsilon éditeur $d DL 2022¤ $a impr. en Italie	Ypsilon éditeur	 $3 15581560 $o ISNI0000000104500342 $a Attanasio $b Maria $f 1943-.... $4 070	
ark:/12148/cb46977254g	 $a Viva Frida $b Texte imprimé $f Didier Goupil	 $a Paris $c Triartis $d DL 2022¤ $a impr. en Pologne	Triartis	 $3 12527321 $o ISNI0000000078340225 $a Goupil $b Didier $f 1963-.... $4 070	 $a D'après Frida Kahlo par Frida Kahlo, lettres 1922-1954
ark:/12148/cb469775847	 $a Recueil des actes d'état civil de la commune de Payzac-de-Lanouaille $h [5] $i De 1827 à 1860 $b Texte imprimé $e Paisac de La Noalha $e naissances, mariages, décès $f Cercle d'histoire et de généalogie du Périgord	 $a Périgueux $c Cercle d'histoire et de généalogie du Périgord $d 2022	Cercle d'histoire et de généalogie du Périgord		
